2025-08-09 19:33:37.561 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.576 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.594 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.611 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.627 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.644 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.661 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.678 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.694 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.711 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.728 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.744 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.761 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.778 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.793 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.811 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.828 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.846 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.862 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.878 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.894 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.911 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.928 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.944 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.961 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.978 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:37.994 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.010 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.028 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.044 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.061 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.078 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.094 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.111 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.128 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.144 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.161 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.178 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.194 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.214 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.228 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.244 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:38.261 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.647 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.668 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.679 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.711 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.726 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.744 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.760 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.777 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.794 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:33:41.878 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:00.502 PERF INFO  async:Opening | result=success durationMs=111 | project= span=async:Opening durationMs=111 node=New Program
2025-08-09 19:34:00.563 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=12 | project= span=canvasRedraw durationMs=12 node=
2025-08-09 19:34:00.563 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:00.564 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.712 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.726 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.741 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.758 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.774 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.791 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.807 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.824 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.841 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:02.874 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 19:34:27.904 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
